Variable Name,Variable Description,H1,H2
M_EVT_L_NSP_SP,Local Events - Non Sports,617000,1736260
M_EVT_L_SPT_SP,Local Events - Sports,170152,368942
M_HSP_L_MLB_SP,Hospitality - MLB,276776,278697
M_HSP_L_PGA_SP,Hospitality - PGA,290252,283514
M_MG_N_SP,Magazine - National,675796,938868
M_NAT_N_SP,Native,2131299,2335121
M_NP_L_SP,Newspaper - Local,0,0
M_NP_N_SP,Newspaper - National,915569,880352
M_OD_BUT_N_SP,Online Display Button,953496,988511
M_OD_L_SP,Online Display - Local,111133,316114
M_OD_N_SP,Online Display - National,4195439,4394666
M_ON_N_SPN_SP,Online Sponsorship,50000,175000
M_OOH_L_SP,OOH - Local,0,0
M_OV_N_SP,Online Video,225000,352500
M_POD_N_SP,Audio - Podcast and Digital,165150.7,265060.17
M_PS_N_BRG_SP,Paid Search - Brand Generic,630689,809494
M_PS_N_BRP_SP,Paid Search - Brand Pure ,487378,487381
M_PS_N_NBR_SP,Paid Search - Non Brand,851782,1563399
M_RD_N_SP,Audio - Radio,444012.3,361532.83
M_SC_N_SP,Social,2294877,2386244
M_TV_N_DGL_SP,TV - Digital Linear,238204,175038
M_TV_N_NWS_SP,TV - Linear - News Business,2500000,2800000
M_TV_N_OTH_SP,TV - Linear - Other,2716184,2547581
M_TV_N_PDV_SP,TV - Premium Digital Video,1410173,1336345
M_TV_N_SPN_SP,TV - Sponsorship,1300000,3850000
M_TV_N_SPT_SP,TV - Linear - Sports,1008732,1391795
M_TV_N_VOD_SP,TV - Video on Demand,305990,173684
PRO_NEW_EX_ADV_CA_SP,Promotion - Published Cash - Existing,0,0
PRO_NEW_EX_ADV_ST_SP,Promotion - Published Sports - Existing,154695,147494
PRO_NEW_EX_CEQA_HIP_SP,Promotion - Cash Equivalent and Hip Pocket - Existing,1609928,2587628
PRO_NEW_NTF_ADV_CA_SP,Promotion - Published Cash - NTF,824748,1112881
PRO_NEW_NTF_ADV_ST_SP,Promotion - Published Sports - NTF,29058,21499
PRO_NEW_NTF_CEQA_HIP_SP,Promotion - Cash Equivalent and Hip Pocket - NTF,511284,639175
