Variable Name,Variable Description,Q1,Q2,Q3,Q4
M_EVT_L_NSP_SP,Local Events - Non Sports,617000,1736260,882475,1358254
M_EVT_L_SPT_SP,Local Events - Sports,170152,368942,264306,228730
M_HSP_L_MLB_SP,Hospitality - MLB,276776,278697,262550,249809
M_HSP_L_PGA_SP,Hospitality - PGA,290252,283514,269164,257070
M_MG_N_SP,Magazine - National,675796,938868,667944,567180
M_NAT_N_SP,Native,2131299,2335121,2355663,2138069
M_NP_L_SP,Newspaper - Local,0,0,0,0
M_NP_N_SP,Newspaper - National,915569,880352,882932,1027896
M_OD_BUT_N_SP,Online Display Button,953496,988511,981473,890085
M_OD_L_SP,Online Display - Local,111133,316114,363778,277411
M_OD_N_SP,Online Display - National,4195439,4394666,4306016,3946183
M_ON_N_SPN_SP,Online Sponsorship,50000,175000,125000,0
M_OOH_L_SP,OOH - Local,0,0,0,0
M_OV_N_SP,Online Video,225000,352500,602500,272500
M_POD_N_SP,Audio - Podcast and Digital,165150.7,265060.17,110390.67,291950.45
M_PS_N_BRG_SP,Paid Search - Brand Generic,630689,809494,661584,626380
M_PS_N_BRP_SP,Paid Search - Brand Pure ,487378,487381,487377,487380
M_PS_N_NBR_SP,Paid Search - Non Brand,851782,1563399,1201688,705468
M_RD_N_SP,Audio - Radio,444012.3,361532.83,502731.33,209631.55
M_SC_N_SP,Social,2294877,2386244,2425978,1813596
M_TV_N_DGL_SP,TV - Digital Linear,238204,175038,298181,438577
M_TV_N_NWS_SP,TV - Linear - News Business,2500000,2800000,1952273,2600000
M_TV_N_OTH_SP,TV - Linear - Other,2716184,2547581,2510496,2300459
M_TV_N_PDV_SP,TV - Premium Digital Video,1410173,1336345,1028157,1300649
M_TV_N_SPN_SP,TV - Sponsorship,1300000,3850000,1110000,0
M_TV_N_SPT_SP,TV - Linear - Sports,1008732,1391795,1319521,831004
M_TV_N_VOD_SP,TV - Video on Demand,305990,173684,297362,160892
PRO_NEW_EX_ADV_CA_SP,Promotion - Published Cash - Existing,0,0,0,0
PRO_NEW_EX_ADV_ST_SP,Promotion - Published Sports - Existing,154695,147494,126080,98858
PRO_NEW_EX_CEQA_HIP_SP,Promotion - Cash Equivalent and Hip Pocket - Existing,1609928,2587628,2470033,2216364
PRO_NEW_NTF_ADV_CA_SP,Promotion - Published Cash - NTF,824748,1112881,1136188,1197669
PRO_NEW_NTF_ADV_ST_SP,Promotion - Published Sports - NTF,29058,21499,26797,24140
PRO_NEW_NTF_CEQA_HIP_SP,Promotion - Cash Equivalent and Hip Pocket - NTF,511284,639175,700786,747886
